,,I,,,,Phase I,II,,,Phase III,,,,,Phase IV,,,
A and B Combined,,B,,A,Total,%,B,A,Total,%,B,A,Total,%,B,A,Total,%
Retouch,Distal,4,,1,5,23.81,1,3,4,12.50,2,2,4,10.26,10,,10,40.00
,Lateral,2,,2,4,19.05,2,4,6,18.75,4,0,4,10.26,8,,8,32.00
,Notched,1,,2,3,14.29,0,0,0,0.00,3,0,3,7.69,6,,6,24.00
,Lateral and Distal,2,,0,2,9.52,1,1,2,6.25,0,0,0,0.00,1,,1,4.00
,Double Side and End,2,,0,2,9.52,1,3,4,12.50,1,0,1,2.56,4,1,5,20.00
,Denticulated,0,,0,0,0.00,0,1,1,3.13,1,0,1,2.56,1,,1,4.00
,Notched Lateral and/or Distal,0,,0,0,0.00,1,1,2,6.25,1,1,2,5.13,0,,0,0.00
,Retouched Pointed Projections (Piercer/Drill-like),0,,1,1,4.76,0,0,0,0.00,0,0,0,0.00,2,,2,8.00
,Old Ventral Surface on Dorsal\Faceted Platform,9,,2,11,52.38,1,2,3,9.38,9,3,12,30.77,8,,8,32.00
Flake Features,Platform Faceting,12,,3,15,71.43,3,8,11,34.38,16,13,29,74.36,19,,19,76.00
,Flake With Old Ventral on Dorsal,0,,4,4,19.05,0,4,4,12.50,2,7,9,23.08,8,,8,32.00
,Truncated Flake,0,,1,1,4.76,0,3,3,9.38,1,0,1,2.56,0,,0,0.00
,Flake With Gloss,0,,0,0,0.00,,0,0,0.00,1,1,2,5.13,3,,3,12.00
Ground,Striated Haematite,0,,0,0,0.00,,0,0,0.00,2,0,2,5.13,1,,1,4.00
Technological ,Microblade,4,,1,5,23.81,1,1,2,6.25,7,1,8,20.51,2,,2,8.00
Types,Levallois-like Flake,2,,0,2,9.52,0,0,0,0.00,2,0,2,5.13,0,,0,0.00
,Burin Spall,2,,1,3,14.29,1,3,4,12.50,0,1,1,2.56,4,,4,16.00
,Pointed Flake with Facetted Platform,3,,0,3,14.29,0,0,0,0.00,0,0,0,0.00,0,,0,0.00
,Bipolar Flake,0,,2,2,9.52,1,6,7,21.88,1,2,3,7.69,4,,4,16.00
,Éclat Débordant,0,,0,0,0.00,1,2,3,9.38,2,0,2,5.13,0,,0,0.00
,Cortical Flake,1,,0,1,4.76,0,0,0,0.00,1,0,1,2.56,3,,3,12.00
,Redirecting Flake,1,,6,7,33.33,1,6,7,21.88,5,2,7,17.95,9,2,11,44.00
,Chopper Anvil,0,,0,0,0.00,1,0,1,3.13,0,0,0,0.00,1,,1,4.00
Cores,Discoidal/Semi Discoidal,1,,0,1,4.76,1,1,2,6.25,0,0,0,0.00,2,,2,8.00
,Faceted Radial Levallois-like,3,,0,3,14.29,0,1,1,3.13,1,0,1,2.56,3,,3,12.00
,Truncated Faceted ,3,,0,3,14.29,0,1,1,3.13,0,0,0,0.00,1,,1,4.00
,Bipolar,1,,1,2,9.52,0,3,3,9.38,1,2,3,7.69,4,,4,16.00
,Bidirectional,1,,0,1,4.76,1,0,1,3.13,1,0,1,2.56,2,,2,8.00
,Single Platform,2,,0,2,9.52,0,0,0,0.00,1,0,1,2.56,4,,4,16.00
,Multiplatform,4,,1,5,23.81,1,3,4,12.50,3,1,4,10.26,4,,4,16.00
,,,,,,,,,,,,,,,,,,
,retouch,,,,,10.11904762,,,,7.421875,,,,4.807692308,,,,16.5
,bipolar,,,,,9.52,,,,15.63,,,,7.69,,,,16.00
,flake cores,,,,,28.57,,,,8.33,,,,17.95,,,,22.67
,Levallois,,,,,7.94,,,,4.17,,,,4.27,,,,4.00
,Flake with gloss,,,,,0.00,,,,,,,,,,,,
,multiplatform,,,,,28.57,,,,17.19,,,,14.10,,,,30.00
