"","Square","Spit","Depth below surface (m)","Material","Radiocarbon Age","Radiocarbon Error","Calibrated 2.5% Credible interval","Calibrated 97.5% Credible interval","Lab code"
"1","A",3,0.06,"Charcoal  ",2570,34,2516,2752,"Wk-19224 "
"2","B",3,0.067,"charcoal",124,32,14,269,"Wk-19228"
"3","A",5,0.092,"Charcoal  ",3245,39,3390,3563,"Wk-19225"
"4","B",4,0.093,"Turbo",4962,50,5606,5870,"Wk-19229"
"5","A",6,0.115,"Turbo ",5341,41,6005,6262,"Wk-18154 "
"6","B",9,0.203,"Trochus",4580,42,5068,5440,"Wk-19230"
"7","A",12,0.306,"Turbo ",5567,44,6295,6434,"Wk-18155 "
"8","A",13,0.339,"Turbo ",5549,62,6224,6461,"Wk-17829 "
"9","B",16,0.381,"Trochus",4867,42,5490,5695,"Wk-18157"
"10","B",21,0.502,"Trochus",5595,43,6304,6464,"Wk-18158"
"11","A",21,0.525,"Turbo ",5909,40,6655,6834,"Wk-19226 "
"12","B",23,0.543,"Trochus",5694,45,6368,6617,"Wk-18159"
"13","A",26,0.639,"Haliotis cf. varia Turbo ",10110,79,11352,12003,"Wk-18156 "
"14","A",27,0.662,"Turbo ",19952,235,23500,24545,"Wk-17830 "
"15","B",33,0.776,"Trochus",5939,45,6674,6882,"Wk-17832"
"16","A",38,0.877,"Turbo ",13658,91,16236,16767,"Wk-19227 "
"17","B",34,0.898,"Shell bead/Nautilus",6118,41,6893,7148,"Wk-19316"
"18","B",40,0.912,"Trochus",8879,78,9690,10186,"Wk-19231"
"19","B",41,0.952,"Oliva shell bead",6223,26,7025,7240,"Wk-30500"
"20","B",42,0.967,"Oliva shell bead",5575,27,6308,6403,"Wk-30501"
"21","B",43,0.993,"Oliva shell bead",13901,45,16698,16994,"Wk-30502"
"22","B",46,1.054,"Oliva shell bead",9457,32,10597,10757,"Wk-30503"
"23","A",46,1.119,"Trochus ",38255,596,41593,43148,"Wk-17831 "
"24","B",49,1.135,"Haliotis cf. varia",14007,146,16524,17402,"Wk-18160"
"25","B",50,1.152,"Haliotis cf. varia",13778,43,16517,16807,"Wk-30504"
"26","B",56,1.305,"Turbo",35387,534,38833,41084,"Wk-19232"
"27","B",66,1.624,"Trochus",37267,453,40958,42325,"Wk-17833"
