"","V1","V2","V3","V4","V5"
"Distal",0.43,0.29,0.11,0.11,0.5
"Lateral",0.14,0.14,0.22,0.21,0.4
"Notched",0,0,0,0.16,0.3
"Lateral.and.Distal",0.14,0.14,0.11,0,0.05
"Double.Side.and.End",0.14,0.14,0.11,0.05,0.2
"Denticulated",0,0,0,0.05,0.05
"Notched.Lateral.and.Distal",0,0,0.11,0,0
"Drill.Like.Retouch...Edge.Damage",0,0,0,0,0.1
"Old.Ventral.Suface.on.Dorsal...Faceted.Platform",0.57,0.71,0.11,0.53,0.4
"Platform.Faceting",0.86,0.86,0.33,0.84,0.95
"Flake.With.Old.Ventral.on.Dorsal",0,0,0,0.11,0.4
"Truncated.Flake",0,0,0,0.05,0
"Flakes.With.Gloss",0,0,0,0.05,0.15
"Ground.Ochre",0,0,0,0.05,0
"Possible.Ground.Flake..Axe.Flake..",0.14,0,0,0,0
"Striated.haematite",0,0,0,0.11,0.05
"Microblade",0.14,0.43,0.11,0.37,0.1
"Levallois.Like.Flake",0,0.29,0,0.11,0
"Burin.Spall",0.29,0,0.11,0,0.2
"Faceted.Point",0.14,0.29,0,0,0
"Bipolar.Flake",0,0,0.11,0.11,0.2
"Éclat.Debordant",0,0,0.11,0.21,0
"Cortical.Flake",0.14,0.14,0,0.05,0.15
"Redirecting.Flake",0,0.14,0.11,0.26,0.45
"Chopper.Anvil",0,0,0.11,0,0.05
"Semi.Discoidal",0,0.14,0.11,0,0.1
"Faceted.Radial...Levallois",0.14,0.43,0,0.05,0.15
"Truncated.Faceted.Flake",0.14,0.43,0,0.05,0.05
"Bipolar",0.14,0.14,0,0.05,0.2
"Bidirectional",0,0.14,0.11,0.05,0.1
"Single.Platform",0.14,0.14,0,0.05,0.2
"Mulitplatform",0.29,0.29,0.11,0.16,0.2
